,Unnamed: 0,ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,month,week
307,2901728,A-2901752,Bing,,2,2019-04-07 16:06:35,2019-04-07 20:06:35,43.784231,-122.538671,43.765382,-122.532206,1.342,At Hills Creek Rd/Kitson Springs Rd - Accident.,45841.0, Highway 58,L,Westfir,Lane,OR,97492,US,US/Pacific,KEUG,2019-04-07 16:13:00,53.0,53.0,93.0,29.67,2.0,N,13.0,0.03,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,4,14
29,1798818,A-1798841,MapQuest,201.0,2,2018-03-23 04:26:09,2018-03-23 04:55:31,34.998905,-81.992401,,,0.0,Accident on Quality Way near Upper Valley Falls Rd.,2.0,Quality Way,R,Boiling Springs,Spartanburg,SC,29316-4801,US,US/Eastern,KSPA,2018-03-23 04:35:00,41.0,35.2,33.0,30.21,10.0,North,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,3,12
599,664330,A-664339,MapQuest,201.0,2,2019-11-19 12:10:34,2019-11-19 14:11:59,30.381041,-91.03833,,,0.0,Accident on Pecue Ln near US-61 Airline Hwy.,,Stumberg Ln,R,Baton Rouge,East Baton Rouge,LA,70817,US,US/Central,KBTR,2019-11-19 11:53:00,73.0,73.0,34.0,29.93,10.0,W,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,11,47
1718,1776860,A-1776883,MapQuest,201.0,3,2018-03-13 01:07:07,2018-03-13 01:51:43,34.01593,-118.173027,,,0.0,Slow lane blocked due to accident on I-5 Southbound at Exits 130B 130C I-710.,,Long Beach Fwy S,R,Los Angeles,Los Angeles,CA,90040,US,US/Pacific,KCQT,2018-03-13 00:47:00,60.1,,86.0,30.06,9.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,3,11
570,1101439,A-1101452,MapQuest,201.0,2,2019-02-06 16:07:25,2019-02-06 17:07:11,32.967819,-80.201111,,,0.0,Accident on SC-165 Bacons Bridge Rd at SC-642 Dorchester Rd.,10598.0,Dorchester Rd,R,Summerville,Dorchester,SC,29485-8045,US,US/Eastern,KDYB,2019-02-06 16:15:00,77.0,,54.0,30.11,10.0,SSW,5.8,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2,6
905,2254116,A-2254140,Bing,,2,2016-05-03 16:34:18,2016-05-03 22:34:18,34.01517,-118.17009,34.01782,-118.17573,0.371,At I-710 - Accident.,,I-5 N,R,Los Angeles,Los Angeles,CA,90040,US,US/Pacific,KCQT,2016-05-03 16:47:00,69.1,,63.0,29.9,10.0,Variable,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,5,18
1425,2345567,A-2345591,Bing,,4,2017-01-21 19:20:35,2017-01-22 01:20:35,40.347839,-107.62814,40.337699,-107.653143,1.491,Closed at Meeker - Road closed due to accident.,14857.0, S Highway 13,L,Hamilton,Moffat,CO,81638,US,US/Mountain,KCAG,2017-01-21 19:14:00,26.1,15.0,88.0,29.7,2.5,WSW,12.7,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,1,3
1259,1535991,A-1536008,MapQuest,241.0,3,2018-07-13 15:23:56,2018-07-13 15:53:48,36.071602,-80.325745,,,0.0,Lane blocked due to accident on I-40 Westbound at Exit 188 US-421.,,I-40 Bus E,R,Winston Salem,Forsyth,NC,27103,US,US/Eastern,KINT,2018-07-13 14:54:00,84.9,,51.0,30.17,10.0,North,,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,7,28
845,1074910,A-1074923,MapQuest,201.0,3,2019-03-27 06:25:10,2019-03-27 07:25:32,38.70454,-78.656509,,,0.0,Accident on I-81 Northbound near Exit 269 Caverns Rd.,,I-81 S,R,Quicksburg,Shenandoah,VA,22847,US,US/Eastern,KLUA,2019-03-27 06:35:00,23.0,,100.0,30.45,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,3,13
1289,2775717,A-2775741,Bing,,2,2018-05-02 08:19:28,2018-05-02 14:19:28,29.47936,-98.60619,29.481312,-98.603481,0.212,At Exchange Pky/Exit 12 - Accident. Left lane blocked.,,I-410 E,R,San Antonio,Bexar,TX,78238,US,US/Central,KSKF,2018-05-02 08:16:00,75.2,,89.0,29.93,6.0,ESE,11.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,5,18
808,1136793,A-1136807,MapQuest,201.0,3,2019-02-23 19:06:45,2019-02-23 19:35:54,40.690933,-73.999214,,,0.0,Left & Center lane blocked due to accident on I-278 Brooklyn Queens Expy Eastbound at Exit 27 Atlantic Ave.,,Brooklyn Queens Expy,R,Brooklyn,Kings,NY,11201,US,US/Eastern,KJRB,2019-02-23 18:56:00,39.0,34.8,79.0,30.34,10.0,East,5.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2,8
1565,2764742,A-2764766,Bing,,3,2018-06-04 00:18:09,2018-06-04 06:18:09,33.75165,-84.37988,33.7526,-84.37907,0.08,At Edgewood Ave/Exit 248 - Accident. Two lanes closed.,,I-75 N,R,Atlanta,Fulton,GA,30312,US,US/Eastern,KATL,2018-06-04 00:52:00,77.0,,69.0,29.91,10.0,NNW,15.0,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,6,23
124,1686558,A-1686581,MapQuest,201.0,2,2018-05-29 04:33:04,2018-05-29 05:02:48,34.901352,-82.332764,,,0.0,Accident on Lee Rd near Caldwell St.,,Caldwell St,R,Taylors,Greenville,SC,29687,US,US/Eastern,KGSP,2018-05-29 04:53:00,72.0,,100.0,29.9,8.0,ESE,5.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,5,22
1606,560745,A-560753,MapQuest,201.0,2,2019-12-19 08:20:19,2019-12-19 09:20:05,30.104425,-91.99057,,,0.0,Accident on LA-89 Lafayette St both ways at Romero St.,554.0,Lafayette St,R,Youngsville,Lafayette,LA,70592-5409,US,US/Central,KLFT,2019-12-19 07:53:00,33.0,33.0,85.0,30.4,10.0,NE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12,51
527,525386,A-525392,MapQuest,201.0,2,2019-12-03 08:34:11,2019-12-03 09:03:50,30.316759,-97.732185,,,0.0,Accident on Lamar Blvd at Guadalupe St.,,W Guadalupe St,R,Austin,Travis,TX,78751,US,US/Central,KATT,2019-12-03 08:51:00,50.0,50.0,54.0,29.35,10.0,VAR,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,12,49
984,2676684,A-2676708,Bing,,2,2018-12-07 15:58:04,2018-12-07 16:27:22,37.58355,-122.4062,37.57742,-122.40225,0.476,At Trousdale Dr/Exit 39 - Accident. in the right lane.,,I-280 S,R,Burlingame,San Mateo,CA,94010,US,US/Pacific,KSFO,2018-12-07 15:56:00,60.1,,60.0,30.17,10.0,NW,4.6,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12,49
1292,1545484,A-1545501,MapQuest,241.0,3,2018-07-19 16:50:20,2018-07-19 17:20:10,41.327309,-85.087997,,,0.0,Lane blocked due to accident on I-69 Northbound before Exit 326 County Road 11A.,,I-69 S,R,Auburn,DeKalb,IN,46706,US,US/Eastern,KGWB,2018-07-19 16:55:00,82.4,,39.0,29.99,10.0,SSE,5.8,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,7,29
251,288459,A-288462,MapQuest,201.0,3,2016-10-03 09:00:36,2016-10-03 09:59:46,30.535299,-97.692169,,,0.0,Accident on I-35 Southbound before Exits 253 254 256 FM-3406 Old Settlers Blvd.,,W Old Settlers Blvd,R,Round Rock,Williamson,TX,78681,US,US/Central,KGTU,2016-10-03 08:50:00,64.4,,77.0,29.97,10.0,Calm,,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10,40
1894,1436880,A-1436896,MapQuest,203.0,2,2018-09-24 00:03:16,2018-09-24 00:32:16,41.470043,-87.57729300000003,,,0.0,Multi-vehicle accident on IL-394 Bishop Ford Fwy Northbound near Steger Rd.,,E Steger Rd,R,Crete,Will,IL,60417,US,US/Central,KIGQ,2018-09-24 00:15:00,58.6,,77.0,30.13,10.0,ESE,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,9,39
887,507706,A-507712,MapQuest,201.0,2,2017-07-30 12:19:02,2017-07-30 12:48:31,40.152451,-75.135643,,,0.0,Accident on Welsh Rd at Carlson Dr.,3598.0,Welsh Rd,R,Willow Grove,Montgomery,PA,19090,US,US/Eastern,KPNE,2017-07-30 11:54:00,79.0,,44.0,30.03,10.0,NE,8.1,,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,7,30
70,2274931,A-2274955,Bing,,4,2016-09-07 22:06:46,2016-09-08 04:06:46,38.463762,-101.734071,38.46577,-101.752655,1.015,Closed between Road 17 and KS-27/Broadway Ave - Road closed due to accident.,,Kansas St,R,Tribune,Greeley,KS,67879,US,US/Mountain,KLAA,2016-09-07 21:53:00,68.0,,73.0,29.82,10.0,NE,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,9,36
482,2208670,A-2208694,MapQuest,201.0,2,2017-08-14 07:43:16,2017-08-14 08:18:00,34.299446,-79.962563,,,2.1400001049,Accident on SC-34 Harry Byrd Hwy between Center Rd and Les Dr.,100.0,Les Dr,L,Darlington,Darlington,SC,29532-6150,US,US/Eastern,KUDG,2017-08-14 07:30:00,75.2,,100.0,29.97,0.2,Calm,,,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8,33
1531,2881814,A-2881838,Bing,,3,2017-09-20 16:01:01,2017-09-20 22:01:01,41.82042,-88.20378000000002,41.82042,-88.20378000000002,0.0,At IL-59 - Accident.,,3S401 State Route 59,R,Warrenville,Dupage,IL,60555-1559,US,US/Central,KDPA,2017-09-20 15:52:00,91.0,,47.0,29.83,9.0,South,17.3,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,9,38
1543,1142492,A-1142506,MapQuest,201.0,2,2019-02-27 10:41:41,2019-02-27 11:19:00,42.883839,-83.84935,,,0.0,Accident on Seymour Rd at Baldwin Rd.,9001.0,Baldwin Rd,R,Gaines,Genesee,MI,48436-9764,US,US/Eastern,KFNT,2019-02-27 10:53:00,17.1,7.6,84.0,30.14,1.8,East,6.9,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2,9
886,2327912,A-2327936,Bing,,2,2016-08-30 11:11:49,2016-08-30 17:11:49,35.1471,-80.92614,35.1471,-80.92614,0.0,At Beam Rd - Accident.,,W Arrowood Rd,R,Charlotte,Mecklenburg,NC,28217,US,US/Eastern,KCLT,2016-08-30 10:52:00,86.0,,48.0,30.13,10.0,NE,8.1,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,8,35
210,2372198,A-2372222,Bing,,2,2016-11-29 18:48:34,2016-11-30 00:48:34,34.06935,-117.79795,34.06389,-117.81483,1.037,At CA-57/CA-71/Corona/Orange/Exit 42 - Accident.,,I-10 W,R,Pomona,Los Angeles,CA,91768,US,US/Pacific,KPOC,2016-11-29 18:47:00,51.8,,54.0,30.05,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,11,48
519,2663045,A-2663069,Bing,,3,2019-01-17 12:49:58,2019-01-17 16:49:58,45.35491500000001,-120.78585,45.354821,-120.78585,0.006,At OR-216/Krusow St/Michigan St - Accident. Lane blocked.,814.0, S Mill St,L,Grass Valley,Sherman,OR,97029-7010,US,US/Pacific,KDLS,2019-01-17 12:53:00,37.0,,86.0,29.71,6.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,1,3
849,2350406,A-2350430,Bing,,4,2016-04-03 04:18:15,2016-04-03 10:18:15,41.58188,-72.50694,41.580052,-72.509695,0.19,Closed at Governor Bill O'Neill Dr - Road closed due to accident.,6.0, W High St,L,East Hampton,Middlesex,CT,06424-1068,US,US/Eastern,KSNC,2016-04-03 04:15:00,35.6,26.6,93.0,29.18,6.0,NW,13.8,,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,4,13
670,2893875,A-2893899,Bing,,3,2017-08-17 11:13:40,2017-08-17 17:13:40,32.814718,-96.62819,32.82943,-96.63097,1.029,At I-30/Exit 8 - Accident.,,LBJ Fwy N,R,Mesquite,Dallas,TX,75150,US,US/Central,KHQZ,2017-08-17 10:50:00,75.2,,94.0,30.02,10.0,SW,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8,33
233,2028501,A-2028524,MapQuest,201.0,2,2017-11-20 15:09:30,2017-11-20 15:39:13,35.22567,-80.720558,,,0.0,Accident on Highland Ave at Hickory Grove Rd.,6499.0,Hickory Grove Rd,L,Charlotte,Mecklenburg,NC,28215-4252,US,US/Eastern,KJQF,2017-11-20 14:50:00,57.2,,23.0,30.23,10.0,SSW,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,11,47
